Date,Close,High,Low,Open,Volume
7/9/1986,2.066812515,2.082896413,2.026602035,2.042686301,5706600
7/10/1986,2.058771133,2.115065905,2.050729181,2.107023585,5347200
7/11/1986,2.058771133,2.098981632,1.962266231,2.074855407,5688000
7/14/1986,1.97834897,1.994433231,1.946180817,1.994433231,6558000
7/15/1986,1.930096745,1.970307217,1.922054798,1.938138693,7200000
7/16/1986,1.970308065,2.002476236,1.930097577,1.978350016,6420000
7/17/1986,1.986391425,2.00247569,1.978349477,1.978349477,3695400
7/18/1986,1.986391425,1.994433742,1.962265212,1.986391425,3110400
7/21/1986,1.97834897,1.986390917,1.96226471,1.97834897,2242800
7/22/1986,2.0024755,2.018559763,1.970307342,1.970307342,3472200
7/23/1986,2.050728321,2.123106968,2.00247589,2.018560156,3997200
7/24/1986,2.123107433,2.123107433,2.002476329,2.050728771,5380800
7/25/1986,2.163318872,2.187445104,2.123108364,2.123108364,5319600
7/28/1986,2.066812515,2.163317374,2.050728249,2.147233108,3782400
7/29/1986,2.026601791,2.058769951,2.018559843,2.050728003,2541600
7/30/1986,2.042686939,2.042686939,1.986392175,2.018560717,3936000
7/31/1986,1.970308065,2.050728675,1.962265747,2.034644406,4195800
8/1/1986,2.0024755,2.010517448,1.946181131,1.978349289,3629400
8/4/1986,2.026601791,2.050728003,1.946181208,1.986391316,2909400
8/5/1986,2.0024755,2.034643659,1.962265026,2.018559763,2782200
8/6/1986,1.97834897,1.994433231,1.96226471,1.97834897,2976600
8/7/1986,2.034643412,2.042685726,1.962264788,1.978349049,2420400
8/8/1986,2.026601791,2.058769951,2.018559843,2.026601791,2000400
8/11/1986,2.090940237,2.090940237,2.03464545,2.042687773,3098400
8/12/1986,2.074854851,2.09093912,2.042686681,2.09093912,2473200
8/13/1986,2.082897663,2.123108168,2.05072948,2.074855709,6000000
8/14/1986,2.090940237,2.115066469,2.07485596,2.098982192,2255400
8/15/1986,2.058771133,2.107023585,2.050729181,2.098981632,2446200
8/18/1986,2.098980665,2.12310688,2.066812502,2.074854451,3465000
8/19/1986,2.074854851,2.10702302,2.058770582,2.09898107,3676800
8/20/1986,2.090940237,2.107024146,2.050729728,2.07485596,2574600
8/21/1986,2.082897663,2.107023892,2.066813756,2.098981939,3302400
8/22/1986,2.074854851,2.115065339,2.0668129,2.082896801,1884000
8/25/1986,2.042686939,2.098981335,2.042686939,2.082897064,2343000
8/26/1986,2.090940237,2.090940237,2.042687773,2.050729728,3760800
8/27/1986,2.026601791,2.098980427,2.00247558,2.098980427,3682200
8/28/1986,2.0024755,2.026601711,1.986391237,2.018559763,4513800
8/29/1986,2.050728321,2.090938803,1.994433941,2.010517839,2867400
9/2/1986,1.99443388,2.058770207,1.986391563,2.058770207,3339600
9/3/1986,1.962265134,2.00247561,1.962265134,1.978349398,4273800
9/4/1986,1.922055721,1.978350114,1.914013402,1.962265844,5805600
9/5/1986,1.825550437,1.946181515,1.785339955,1.922055299,10740000
9/8/1986,1.868252873,1.908691371,1.811639273,1.819726825,6600000
9/9/1986,1.932955503,1.932955503,1.827815424,1.900604539,6480000
9/10/1986,1.860166073,1.932955175,1.843990593,1.92486725,6180000
9/11/1986,1.787376165,1.860165235,1.698411624,1.852077314,8580000
9/12/1986,1.819727659,1.819727659,1.714587962,1.779289143,15180000
9/15/1986,1.787376165,1.835902212,1.74693767,1.811639189,5196000
